"","X.TwoWayPipelines.NPI2.NPI2Threshold","X.TwoWayPipelines.NPI2.NPI2FlowThreshold","X.TwoWayPipelines.NPI.NPIThreshold","X.TwoWayPipelines.NPI.NPIFlowThreshold","X.TwoWayPipelines.BrisbanetoNthPineInterconnector.BrisbanetoNthPineThreshold","X.TwoWayPipelines.BrisbanetoNthPineInterconnector.BrisbanetoNthPineFlowThreshold","X.TwoWayPipelines.MaroochytoBaroonInterconnector.MaroochytoBaroonThreshold","X.TwoWayPipelines.EwenMaddocktoBaroonInterconnector.EwenMaddocktoBaroonThreshold","X.TwoWayPipelines.EPI.EPIThreshold","X.TwoWayPipelines.EPI.EPIFlowThreshold","X.TwoWayPipelines.SPI.SPIThreshold","X.TwoWayPipelines.SPI.SPIFlowThreshold","X.WCRWS.PRWThreshold","X.TugunDesalination.TugunDesalOneThirdThreshold","X.TugunDesalination.TugunDesalTwoThirdsThreshold","X.TugunDesalination.TugunDesalFullThreshold","X.SpillVolumes.TotalSpillVolume","X.MinimumSystemStorageNegation","X.Costs.TotalCost","X.Costs.SwitchingCost","X.Costs.PumpingCost","X.Costs.TugunDesalCost","X.Costs.TreatmentCost","X.Costs.PRWCost","X.TugunDesalination.TugunDesalProductionTotal","X.WCRWS.PRWInflow","X.TwoWayPipelines.TwoWayPipelineFlows","X.SwitchCounts.TotalSwitchCount","X.SwitchCounts.BrisbanetoNthPineSwitchCount","X.SwitchCounts.EPISwitchCount","X.SwitchCounts.EwentoBaroonSwitchCount","X.SwitchCounts.MaroochytoBaroonSwitchCount","X.SwitchCounts.NPI2SwitchCount","X.SwitchCounts.NPISwitchCount","X.SwitchCounts.SPISwitchCount","X.EnvironmentalFlows.EnvFlowDeficit","X.Reliability.TotalVolumetricReliability"
"46",0.7436505654,0.7158038124,0.844692188,0.5695034936,0.9307325059,0.0019528836,0.9899603462,0.9726315905,0.329881333,0.80900083,0.7629573777,0.3814682258,0.1886396277,0.2375721068,0.10864665,0.0046425121,319710.816148984,293793.338416647,5298668455.07532,200000,45258680.664538,70949327.7359979,4530223017.55481,652037429.11997,100516.079999998,232,144.897,5,0,0,1,1,3,0,0,38689.4457043867,0.9456670882
"47",0.9608653446,0.6402461382,0.9211895185,0.9990795256,0.746598441,1.50712046558984e-05,0.8705589701,0.9339749719,0.2579509605,0.9979422934,0.9462190304,0.0157927646,0.83357635,0.8613217923,0.2090015758,0.0113157062,391543.970682536,384957.864973372,5323240822.03533,120000,24929862.6289913,128400819.993593,4517752710.29278,652037429.11997,173541.060000012,232,189.897,3,0,0,1,1,1,0,0,36368.7948439497,0.9031253558
"48",0.9894893642,0.5567250667,0.9060264429,0.9879737609,0.6459519416,0.0462413241,0.9966379691,0.9585516583,0.4321004124,0.7060257675,0.9811965519,0.0099072368,0.63591128,0.5301090955,0.0317344623,0.2309620216,375709.590893716,386760.986374664,5359076555.4953,120000,26254130.2384096,162382884.711593,4518282111.42532,652037429.11997,226443.140000015,232,349.897,3,0,0,1,1,1,0,0,36367.2755919876,0.930102104
"49",0.9511414214,0.9168509357,0.9918295311,0.9901884119,0.977806913,0.0382109993,0.9398922809,0.9728566519,0.5633949555,0.9162136907,0.5608112146,0.0003206091,0.6612636488,0.0885770835,0.003906411,0.1701271164,335700.227835543,354684.505538706,5210390904.92438,120000,26025143.5309737,3610549.56360005,4528597782.70983,652037429.11997,17925.74,232,349.897,3,0,0,1,1,1,0,0,36365.0118154752,0.9260903757
"50",0.9737018662,0.8342885963,0.9323273919,0.9039666722,0.06587456,0.0247763218,0.8395336941,0.9148160674,0.011406009,0.8954379611,0.9252131988,0.018960893,0.6359933774,0.1405024789,0.1360119384,0.1432393347,350714.877398332,348688.776879387,5205138406.67965,200000,24751371.838965,1211472.84720004,4526938132.87351,652037429.11997,14571.4799999993,232,189.897,5,0,0,1,3,1,0,0,37063.3397122007,0.9102314262
"53",0.9827399053,0.9130566346,0.7570933149,0.9054948157,0.1002622981,0.3770566634,0.9950674956,0.8564257285,0.4016489134,0.5412560831,0.8701517744,0.4338362768,0.9685778174,0.0258630589,0.1278249322,0.0792652507,306608.284487614,163115.435285075,5282970290.10034,760000,51417663.7700638,56184739.8755984,4522570457.33471,652037429.11997,89059.4600000001,232,349.897,19,0,0,17,1,1,0,0,37144.3979944199,0.9412334235
"54",0.918509967,0.7112592055,0.9946605375,0.9983671308,0.4447009235,0.0012659202,0.6214220127,0.8901945555,0.6321858558,0.9823116341,0.6014337021,0.0084774296,0.4652018066,0.1490896853,0.9183987136,0.0492715323,459831.762357558,410323.868545061,5414915794.17323,120000,24927528.7004876,227705895.093592,4510124941.25918,652037429.11997,320572.560000015,232,189.897,3,0,0,1,1,1,0,0,36442.7145570769,0.902964083
"55",0.9511414214,0.9787801191,0.929371523,0.9956765817,0.988970714,0.031121574,0.9395329058,0.9629988858,0.592433561,0.9948478961,0.6049977439,0.0003206091,0.8858284511,0.0672904608,0.1091212956,0.2376199902,363531.063891184,374142.55400209,5294688119.46946,120000,25647412.7962479,95882730.9635933,4521000546.58965,652037429.11997,146935.740000005,232,349.897,3,0,0,1,1,1,0,0,36360.9653324207,0.9182654741
"56",0.9632440193,0.974263875,0.9211895185,0.9831724663,0.404557517,3.43707343044183e-05,0.9444134426,0.9718692334,0.2282982961,0.7317323258,0.7435038513,0.025425188,0.8410826467,0.1129933577,0.2064893333,0.2432914606,369798.81667453,375175.003568616,5292510759.52122,120000,26048175.4195779,94221831.698393,4520083323.28328,652037429.11997,144613.560000005,232,189.897,3,0,0,1,1,1,0,0,36332.2497881029,0.9070335659
"57",0.8453989983,0.9171585295,0.8898733257,0.9850953347,0.6840410582,0.0691514079,0.9006254546,0.9999638557,0.0838087975,0.7660914481,0.9125855079,0.1781467859,0.5423303755,0.872567177,0.1937278886,0.5680347545,372183.073870288,415327.327919554,5537537507.15448,360000,43692115.7812736,332439443.716809,4509008518.53642,652037429.11997,477161.44,232,349.897,9,0,0,1,1,7,0,0,36395.384765361,0.9458154788
